directory,file,filename,provider,model,returncode,elapsed_s,date,wp_goals_scheduled,proved_goals,total_goals,timeout,unreachable,terminating,function,qed_count,qed_t_min_ms,qed_t_mid_ms,qed_t_max_ms,meta_file_name,meta_verified,meta_verified_goals,meta_total_goals,alt_ergo_2_4_3_count,alt_ergo_2_4_3_t_min_ms,alt_ergo_2_4_3_t_mid_ms,alt_ergo_2_4_3_t_max_ms,proved_ratio,vs_meta_ratio,delta_proved_vs_meta_verified_goals,delta_total_vs_meta_total_goals
00_327,/home/ubuntu/workspace/formal_week_github/casp_10/00_327/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,2.0441599860005226,2026-02-27_16-27-42,13.0,15.0,15.0,,1.0,1.0,array_zero,9.0,19.0,7.0,29.0,frama_c_files_v2/test_frama_c_1030.c,True,13.0,13.0,4.0,40.0,57.0,65.0,1.0,1.1538461538461537,2.0,2.0
00_327,/home/ubuntu/workspace/formal_week_github/casp_10/00_327/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,0,2.178163143000347,2026-02-27_16-27-42,11.0,13.0,13.0,,1.0,1.0,array_zero,7.0,19.0,9.0,29.0,frama_c_files_v2/test_frama_c_1030.c,True,13.0,13.0,4.0,,,,1.0,1.0,0.0,0.0
00_327,/home/ubuntu/workspace/formal_week_github/casp_10/00_327/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,0,3.9255251489994407,2026-02-27_16-27-42,11.0,12.0,13.0,1.0,1.0,1.0,array_zero,7.0,20.0,10.0,35.0,frama_c_files_v2/test_frama_c_1030.c,True,13.0,13.0,3.0,36.0,62.0,81.0,0.9230769230769231,0.9230769230769231,-1.0,0.0
00_327,/home/ubuntu/workspace/formal_week_github/casp_10/00_327/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,0,2.158497704999718,2026-02-27_16-27-42,13.0,15.0,15.0,,1.0,1.0,array_zero,9.0,19.0,8.0,30.0,frama_c_files_v2/test_frama_c_1030.c,True,13.0,13.0,4.0,,,,1.0,1.1538461538461537,2.0,2.0
01_57,/home/ubuntu/workspace/formal_week_github/casp_10/01_57/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,3.9148745679995045,2026-02-27_16-27-42,10.0,11.0,12.0,1.0,1.0,1.0,divmult,4.0,3.0,5.0,13.0,frama_c_files_v2/test_frama_c_547.c,True,12.0,12.0,5.0,102.0,168.0,216.0,0.9166666666666666,0.9166666666666666,-1.0,0.0
01_57,/home/ubuntu/workspace/formal_week_github/casp_10/01_57/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,1,0.6338827710005717,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
01_57,/home/ubuntu/workspace/formal_week_github/casp_10/01_57/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,0,1.9242393519998586,2026-02-27_16-27-42,10.0,12.0,12.0,,1.0,1.0,divmult,4.0,3.0,3.0,12.0,frama_c_files_v2/test_frama_c_547.c,True,12.0,12.0,6.0,,,,1.0,1.0,0.0,0.0
01_57,/home/ubuntu/workspace/formal_week_github/casp_10/01_57/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,0,3.8089756740000666,2026-02-27_16-27-42,10.0,11.0,12.0,1.0,1.0,1.0,divmult,4.0,3.0,3.0,12.0,frama_c_files_v2/test_frama_c_547.c,True,12.0,12.0,5.0,88.0,161.0,216.0,0.9166666666666666,0.9166666666666666,-1.0,0.0
02_12,/home/ubuntu/workspace/formal_week_github/casp_10/02_12/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,1,0.635470868000084,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
02_12,/home/ubuntu/workspace/formal_week_github/casp_10/02_12/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,1,0.6386121790001198,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
02_12,/home/ubuntu/workspace/formal_week_github/casp_10/02_12/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,1,0.7235497290002968,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
02_12,/home/ubuntu/workspace/formal_week_github/casp_10/02_12/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,1,0.6608681280004021,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
03_379,/home/ubuntu/workspace/formal_week_github/casp_10/03_379/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,4.225431716999992,2026-02-27_16-27-42,23.0,23.0,25.0,2.0,1.0,1.0,selectioninnerloop,12.0,19.0,18.0,75.0,frama_c_files_v2/test_frama_c_889.c,True,24.0,24.0,9.0,61.0,80.0,118.0,0.92,0.9583333333333334,-1.0,1.0
03_379,/home/ubuntu/workspace/formal_week_github/casp_10/03_379/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,1,0.6188500070002192,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
03_379,/home/ubuntu/workspace/formal_week_github/casp_10/03_379/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,1,0.674124149999443,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
03_379,/home/ubuntu/workspace/formal_week_github/casp_10/03_379/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,1,0.591523086000052,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
04_140,/home/ubuntu/workspace/formal_week_github/casp_10/04_140/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,0.8698710509997909,2026-02-27_16-27-42,12.0,14.0,14.0,,1.0,1.0,g,12.0,,,,frama_c_files_v2/test_frama_c_963.c,True,8.0,8.0,,,,,1.0,1.75,6.0,6.0
04_140,/home/ubuntu/workspace/formal_week_github/casp_10/04_140/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,0,0.8346922319997248,2026-02-27_16-27-42,13.0,15.0,15.0,,1.0,1.0,g,13.0,,,,frama_c_files_v2/test_frama_c_963.c,True,8.0,8.0,,,,,1.0,1.875,7.0,7.0
04_140,/home/ubuntu/workspace/formal_week_github/casp_10/04_140/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,0,3.709876334999535,2026-02-27_16-27-42,13.0,13.0,15.0,2.0,1.0,1.0,g,11.0,17.0,3.0,17.0,frama_c_files_v2/test_frama_c_963.c,True,8.0,8.0,,,,,0.8666666666666667,1.625,5.0,7.0
04_140,/home/ubuntu/workspace/formal_week_github/casp_10/04_140/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,0,0.8439727159993708,2026-02-27_16-27-42,13.0,15.0,15.0,,1.0,1.0,g,13.0,,,,frama_c_files_v2/test_frama_c_963.c,True,8.0,8.0,,,,,1.0,1.875,7.0,7.0
05_125,/home/ubuntu/workspace/formal_week_github/casp_10/05_125/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,1,0.6699165539994283,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
05_125,/home/ubuntu/workspace/formal_week_github/casp_10/05_125/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,1,0.7311534020000181,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
05_125,/home/ubuntu/workspace/formal_week_github/casp_10/05_125/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,1,0.6654716430002736,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
05_125,/home/ubuntu/workspace/formal_week_github/casp_10/05_125/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,1,0.6565020589996493,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
06_114,/home/ubuntu/workspace/formal_week_github/casp_10/06_114/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,0.8809791490002681,2026-02-27_16-27-42,11.0,11.0,11.0,,,,max_abs,11.0,,,,frama_c_files_v2/test_frama_c_2778.c,True,10.0,10.0,,,,,1.0,1.1,1.0,1.0
06_114,/home/ubuntu/workspace/formal_week_github/casp_10/06_114/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,1,0.7056602780003232,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
06_114,/home/ubuntu/workspace/formal_week_github/casp_10/06_114/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,1,0.6786329639999167,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
06_114,/home/ubuntu/workspace/formal_week_github/casp_10/06_114/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,1,0.7165161419998185,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
07_71,/home/ubuntu/workspace/formal_week_github/casp_10/07_71/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,0.8592015399999582,2026-02-27_16-27-42,4.0,6.0,6.0,,1.0,1.0,decypher,4.0,,,,frama_c_files_v2/test_frama_c_1756.c,True,14.0,14.0,,,,,1.0,0.42857142857142855,-8.0,-8.0
07_71,/home/ubuntu/workspace/formal_week_github/casp_10/07_71/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,1,0.6815828740000143,2026-02-27_16-27-42,,,,,,,,,,,,,,,,,,,,,,,
07_71,/home/ubuntu/workspace/formal_week_github/casp_10/07_71/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,0,1.5786138559997198,2026-02-27_16-27-42,4.0,6.0,6.0,,1.0,1.0,decypher,3.0,,,,frama_c_files_v2/test_frama_c_1756.c,True,14.0,14.0,1.0,,,,1.0,0.42857142857142855,-8.0,-8.0
07_71,/home/ubuntu/workspace/formal_week_github/casp_10/07_71/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,0,3.6228470749992994,2026-02-27_16-27-42,4.0,5.0,6.0,1.0,1.0,1.0,decypher,3.0,,,,frama_c_files_v2/test_frama_c_1756.c,True,14.0,14.0,,,,,0.8333333333333334,0.35714285714285715,-9.0,-8.0
08_377,/home/ubuntu/workspace/formal_week_github/casp_10/08_377/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,2.179625968000437,2026-02-27_16-27-42,15.0,17.0,17.0,,1.0,1.0,check,10.0,17.0,11.0,54.0,frama_c_files_v2/test_frama_c_1808.c,True,19.0,19.0,5.0,47.0,63.0,88.0,1.0,0.8947368421052632,-2.0,-2.0
08_377,/home/ubuntu/workspace/formal_week_github/casp_10/08_377/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,0,1.9885311480002201,2026-02-27_16-27-42,14.0,16.0,16.0,,1.0,1.0,check,10.0,17.0,8.0,56.0,frama_c_files_v2/test_frama_c_1808.c,True,19.0,19.0,4.0,,,,1.0,0.8421052631578947,-3.0,-3.0
08_377,/home/ubuntu/workspace/formal_week_github/casp_10/08_377/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,0,4.02854638000008,2026-02-27_16-27-42,14.0,14.0,16.0,2.0,1.0,1.0,check,10.0,16.0,8.0,53.0,frama_c_files_v2/test_frama_c_1808.c,True,19.0,19.0,2.0,,,,0.875,0.7368421052631579,-5.0,-3.0
08_377,/home/ubuntu/workspace/formal_week_github/casp_10/08_377/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,0,2.0245498489994134,2026-02-27_16-27-42,14.0,16.0,16.0,,1.0,1.0,check,10.0,18.0,8.0,56.0,frama_c_files_v2/test_frama_c_1808.c,True,19.0,19.0,4.0,,,,1.0,0.8421052631578947,-3.0,-3.0
09_52,/home/ubuntu/workspace/formal_week_github/casp_10/09_52/code_with_llm_spec_deepseek_deepseek-chat.c,code_with_llm_spec_deepseek_deepseek-chat.c,deepseek,deepseek-chat,0,7.2676020509998125,2026-02-27_16-27-42,26.0,14.0,28.0,14.0,1.0,1.0,mv_mult2,4.0,10.0,28.0,82.0,frama_c_files_v2/test_frama_c_2740.c,True,52.0,52.0,8.0,29.0,104.0,195.0,0.5,0.2692307692307692,-38.0,-24.0
09_52,/home/ubuntu/workspace/formal_week_github/casp_10/09_52/code_with_llm_spec_gemini_gemini-2.5-flash.c,code_with_llm_spec_gemini_gemini-2.5-flash.c,gemini,gemini-2.5-flash,0,6.879167647000031,2026-02-27_16-27-42,26.0,16.0,28.0,12.0,1.0,1.0,mv_mult2,5.0,10.0,23.0,50.0,frama_c_files_v2/test_frama_c_2740.c,True,52.0,52.0,9.0,,,,0.5714285714285714,0.3076923076923077,-36.0,-24.0
09_52,/home/ubuntu/workspace/formal_week_github/casp_10/09_52/code_with_llm_spec_openai_gpt-4o-mini.c,code_with_llm_spec_openai_gpt-4o-mini.c,openai,gpt-4o-mini,0,7.292335810999248,2026-02-27_16-27-42,26.0,14.0,28.0,14.0,1.0,1.0,mv_mult2,4.0,11.0,28.0,65.0,frama_c_files_v2/test_frama_c_2740.c,True,52.0,52.0,8.0,50.0,109.0,189.0,0.5,0.2692307692307692,-38.0,-24.0
09_52,/home/ubuntu/workspace/formal_week_github/casp_10/09_52/code_with_llm_spec_openai_gpt-5.2.c,code_with_llm_spec_openai_gpt-5.2.c,openai,gpt-5.2,0,7.321064009000111,2026-02-27_16-27-42,26.0,14.0,28.0,14.0,1.0,1.0,mv_mult2,4.0,9.0,25.0,58.0,frama_c_files_v2/test_frama_c_2740.c,True,52.0,52.0,8.0,41.0,106.0,199.0,0.5,0.2692307692307692,-38.0,-24.0
